product_id,brand,product,category,compare_unit,ean (fill in),chains_with_data
nivea-fresh-natural-deo,NIVEA,Fresh Natural deodorant spray,personal care,per liter,,action;ah;dekamarkt;dirk;etos;kruidvat;plus;spar
nivea-men-dry-impact-deo,NIVEA MEN,Men Dry Impact anti-perspirant spray,personal care,per liter,,action;ah;dekamarkt;dirk;jumbo;kruidvat;plus;spar
dove-original-deo,Dove,Original / Advanced Care Original deodorant spray,personal care,per liter,,ah;dekamarkt;dirk;hoogvliet;jumbo;kruidvat;lidl;plus;spar
axe-africa-bodyspray,Axe,Africa deodorant body spray,personal care,per liter,,ah;jumbo;kruidvat;lidl;plus;spar
rexona-men-cobalt-deo,Rexona,Men Cobalt Dry anti-perspirant spray,personal care,per liter,,ah;dekamarkt;hoogvliet;plus
sanex-sensitive-deo,Sanex,Dermo/Derma Sensitive deodorant spray,personal care,per liter,,action;ah;hoogvliet;jumbo;plus
dove-men-clean-comfort-douche,Dove Men+Care,Clean Comfort shower gel,personal care,per liter,,ah;dekamarkt;dirk;hoogvliet;kruidvat
palmolive-naturals-amandel-douche,Palmolive,Naturals almond shower gel / cream,personal care,per liter,,action;ah;dekamarkt;dirk;hoogvliet;jumbo;plus;spar
palmolive-amandel-handzeep,Palmolive,Naturals almond hand soap (pump),personal care,per liter,,action;ah;dekamarkt;dirk;hoogvliet;jumbo;plus;spar
andrelon-classic-iedere-dag,Andrélon,Classic Every Day shampoo,personal care,per liter,,ah;dekamarkt;dirk;etos;hoogvliet;jumbo;kruidvat;plus;spar
head-shoulders-classic,Head & Shoulders,Classic anti-dandruff shampoo,personal care,per liter,,action;ah;dekamarkt;dirk;hoogvliet;jumbo;plus;spar
elvive-color-vive-shampoo,L'Oréal Elvive,Color-Vive shampoo,personal care,per liter,,action;ah;dekamarkt;hoogvliet;jumbo;plus
fructis-shampoo,Garnier Fructis,Fructis shampoo (Damage Repair etc.),personal care,per liter,,action;kruidvat
colgate-caries-protection,Colgate,Caries/Cavity Protection toothpaste,personal care,per liter,,action;ah;dekamarkt;dirk;etos;hoogvliet;jumbo;plus;spar
oralb-3d-white-arctic-fresh,Oral-B,3D White Arctic Fresh toothpaste,personal care,per liter,,action;ah;dekamarkt;dirk;etos;jumbo
sensodyne-fresh-mint,Sensodyne,Fresh Mint toothpaste,personal care,per liter,,action;ah;dekamarkt;dirk;hoogvliet;jumbo;plus;spar
listerine-cool-mint,Listerine,Cool Mint mouthwash,personal care,per liter,,action;ah;dekamarkt;etos;hoogvliet;jumbo;lidl;plus
gillette-blue3-wegwerp,Gillette,Blue3 disposable razors,personal care,per unit,,action;ah;jumbo;lidl;spar
always-ultra-normal,Always,Ultra sanitary pads Normal (with wings),personal care,per unit,,ah;dekamarkt;hoogvliet;jumbo;plus
always-dailies-normal,Always,Dailies panty liners Normal,personal care,per unit,,action;ah
ariel-4in1-pods,Ariel,4-in-1 pods (color / ultra),household,per wash,,action;ah;dirk;etos;jumbo;plus;spar
ariel-3in1-pods-color,Ariel,3-in-1 pods Color,household,per wash,,action;ah;dirk;jumbo;lidl;plus
ariel-vloeibaar-color,Ariel,Liquid detergent Color,household,per wash,,action;ah;dekamarkt;dirk;hoogvliet;jumbo;lidl;plus;spar
omo-vloeibaar-kleur,Omo,Liquid detergent Color,household,per wash,,action;ah;dekamarkt;dirk;hoogvliet;jumbo;lidl
